Review
nunggu no untuk verifikasi ke inbox email lama sehingga ketika kembali ke tab di hp aplikasi m pajaknya suka keluar sendiri.. dan ketika no sudah masuk ke email buka tab baru lagi dan otomatis minta no verifikasi dan no yg ada di email gak bisa di gunakan..gitu dan gitu terus ini😇😇
"Mau aplikasi, situs web, atau instansi lainnya yang berhubungan dengan pemerintahan 1. situs lemot, lama terbuka walau pakai jaringan wifi kuat, 2. cs/pengaduan/chat/gmail semuanya lemot balasnya kayak gak ada orang sama sekali, dari kedua point itu ajah sudah bisa menyimpulkan ya? Seberapa buruknya aplikasi/sistem web pemerintahan"
"Aplikasi nggak berguna,saya sudah 3 jam mengakses live chat selalu saja tidak bisa terakses dengan alasan jaringan tidak stabil, kurang stabil appa jaringan saya sudah pake wifi langsung di pusatnya Indihome masih saja alasan nya karena jaringan tidak masuk akal skli. Klo mmng aplikasinya tidak bisa digunakan yah.... tidak usah di adakan"
"Lupa efin di suruh lewat m pajak , udh di coba tpi pas mau ajuin pas bagian verifikasi email/sms nya ga bisa di klik coba ?? Kenapa itu ngebug atau gimana dah ? Udh di apus instal ulang sama aja ga bisa juga ngebug aplikasi nya . Ini kan aplikasi dari pemerintah nih kalo bisa di tingkatin lagi dong masa mau tau efin aja susah pake segala ngebug gitu aplikasi nya ."
"Aplikasi nya sungguh buruk, mau aktivasi efin pun dipersulit. Update : yang susah dapat verifikasi dari email, lebih baik verifikasi lewat sms saja, tapi sebelumnya harus punya pulsa yaaa karena dipotong pulsa"
"Semakin parah aplikasi djp, buat dari websitepun tetap sama aja. Kode verifikasi tidak pernah masuk ke email. Semakin sloww respon tidak seperti sebelumnya, sebelumnya cepat sekali kode verifikasinya masuk."
"Sudah coba login aplikasi pakai password yang benar tetap harus verifikasi email. Sebenarnya tidak masalah untuk verifikasi dua langkahnya tapi yang jadi masalah email berisi kode verifikasinya lama banget baru masuk, maksudnya apa coba, semoga aplikasinya bisa lebih baik kedepannya!"
"Aplikasi Lemot, mint Kode Verifikasi aja muter"" dan lama udh nyoba dr 3 Hari lalu masih aja bgtu. Klo dtng ke Kantor nya bilang ""bisa lewat aplikasi"" aplikasinya aja bgni. Zaman udh canggih tp hal ug berhubungan dengan aplikasi pemerintah slalu lemot dan lama."
"Untuk login susah, untuk dapatkan efin ribet, mau pergi ke KPP terdekat juga sangat tidak memungkinkan, krna antri terlalu banyak. Setiap KPP terdekat juga tempatnya kecil dan harus berdesakan desakan"
"Jelek sekali, mau login saja sangat sulit. Kode verifikasi tidak masuk2. Sudah mencoba kirim lewat email atau sms tetap tidak masuk juga. Gimana mau bayar pajak kalo hal gini aja sulit. Tolonglah ditingkatkan lagi kualitas aplikasinya."
"sering error, pengujuan lupa efin error terus dan pelayanannya lama sekali. sesuatu yang harusnya mudah untuk diakses dan diselesaikan secara online malah harus dibuat secara offline. blm lagi offline antreannya selalu panjang padahal sudah datang dijam kantor baru buka. tolong permudah padahal mau lapor pajak, malah dipersulit"
"Aplikasi anjayyy bgttt. Ngebug parah😭. Ini gimana mau laporan SPT kalau nomor efin aja susahnya mintak ampun. Tolonglah,ini aplikasi kan dibuat permudah untuk masyarakat kenapa lama banget sih.sudah klik meminta permohonan malah balik ke tampilan awal.padahal pake data.sudah pake wifi gabisa bisa. Aplikasi yg jelas dikit dong kalau buat😭🫵"
"Untuk lupa sandi perlu EFIN, tapi kalau ternyata email pemulihan sandi gak sesuai dengan email saat mendaftar ya gak kelar juga urusan, makin repot jadinya. Link reset password nya dikirim ke email yg saya gak pernah lihat sebelumnya, ntah dimana salahnya 😭😭"
Pakai browser pakai aplikasi tetap sama tidak bisa kirim kode verifikasi server ke email dan ke sms tetap tidak ada... menunggu sampai kapai terkirim.. sudah dibuat laporannya ga bisa dikirim gara2 tidak ada verifikasi... pabaliut Verifikasi kode server.. Pajak buat siapa ayo...
"Kalo bisa di menu awal beranda setelah log in ,langsung terlihat total penerimaan pajak seluruh rakyat .dan itu selalu update secara sistem otomatis tiap ada pembayaran pajak masuk dr rakyat . Biar transparan !rakyat tau brapa sihh penerimaan pajak negara ini."
"Mau login, sudah memasukan NPWP/NIK serta password yang benar, tapi tetap gak bisa login dan dinyatakan salah terus. Sementara login di web DJP Online gak masalah. Jadi kesimpulan sementara sebenarnya aplikasinya yang salah."
"Aplikasinya sangat lambat. Kita ajukan berulang kali untuk mendapatkan kode EFIN pun selalu saja gagal. Masukkan kode OTP yang dikirim oleh sistem pun dibilang ""SALAH"". Tolong diperbaiki aplikasinya. Jika tidak bisa digunakan, silahkan kunci saja aplikasinya."
"Aplikasinya bagus banget, chat live susah banget buat nyambung ke agen. Lewat web browser djp online pun sama, sekarang kok gabisa ubah email lama? Tidak tersedia juga penghapusan akun djp online"
"Tiap tahun mau lapor pajak pasti ada-ada sistemnya tidak efisien, dibuat ribet tiap tahun gonta-ganti sistem, tapi tetap saja mempersulit untuk lapor pajak!!! Gak usah gonta-ganti tampilan perbaiki dulu sistemnya biar mempermudah orang,, karena gak semua orang paham lapor pajak ginian!!!"
